pseudocode_doc,pseudocode_id,target_src,implementation_status,test_traceability_status,direct_test_files
docs/pseudocode/__main__.md,__main__.py,src/dpost_v2/__main__.py,missing_implementation,missing_tests,
docs/pseudocode/application/contracts/context.md,application/contracts/context.py,src/dpost_v2/application/contracts/context.py,implemented,direct_module_tests_present,tests/dpost_v2/application/contracts/test_context.py|tests/dpost_v2/application/contracts/test_events.py|tests/dpost_v2/application/contracts/test_plugin_contracts.py|tests/dpost_v2/application/runtime/test_dpost_app.py|tests/dpost_v2/harness/test_factories.py|tests/dpost_v2/plugins/test_device_integration.py|tests/dpost_v2/plugins/test_device_template.py|tests/dpost_v2/plugins/test_discovery.py|tests/dpost_v2/plugins/test_host.py
docs/pseudocode/application/contracts/events.md,application/contracts/events.py,src/dpost_v2/application/contracts/events.py,implemented,direct_module_tests_present,tests/dpost_v2/application/contracts/test_events.py|tests/dpost_v2/application/contracts/test_ports.py
docs/pseudocode/application/contracts/plugin_contracts.md,application/contracts/plugin_contracts.py,src/dpost_v2/application/contracts/plugin_contracts.py,implemented,direct_module_tests_present,tests/dpost_v2/application/contracts/test_plugin_contracts.py|tests/dpost_v2/plugins/test_catalog.py|tests/dpost_v2/plugins/test_device_integration.py|tests/dpost_v2/plugins/test_device_template.py|tests/dpost_v2/plugins/test_discovery.py|tests/dpost_v2/plugins/test_host.py|tests/dpost_v2/plugins/test_pc_template.py|tests/dpost_v2/plugins/test_profile_selection.py
docs/pseudocode/application/contracts/ports.md,application/contracts/ports.py,src/dpost_v2/application/contracts/ports.py,implemented,direct_module_tests_present,tests/dpost_v2/application/contracts/test_ports.py|tests/dpost_v2/infrastructure/sync/test_kadi.py|tests/dpost_v2/infrastructure/sync/test_noop.py
docs/pseudocode/application/ingestion/engine.md,application/ingestion/engine.py,src/dpost_v2/application/ingestion/engine.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/test_engine.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py|tests/dpost_v2/application/runtime/test_dpost_app.py
docs/pseudocode/application/ingestion/models/candidate.md,application/ingestion/models/candidate.py,src/dpost_v2/application/ingestion/models/candidate.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/models/test_candidate.py|tests/dpost_v2/application/ingestion/stages/test_persist_post_persist.py|tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py
docs/pseudocode/application/ingestion/policies/error_handling.md,application/ingestion/policies/error_handling.py,src/dpost_v2/application/ingestion/policies/error_handling.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/policies/test_error_handling_and_failure_outcome.py
docs/pseudocode/application/ingestion/policies/failure_emitter.md,application/ingestion/policies/failure_emitter.py,src/dpost_v2/application/ingestion/policies/failure_emitter.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/policies/test_failure_emitters.py
docs/pseudocode/application/ingestion/policies/failure_outcome.md,application/ingestion/policies/failure_outcome.py,src/dpost_v2/application/ingestion/policies/failure_outcome.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/policies/test_error_handling_and_failure_outcome.py|tests/dpost_v2/application/ingestion/policies/test_failure_emitters.py
docs/pseudocode/application/ingestion/policies/force_path.md,application/ingestion/policies/force_path.py,src/dpost_v2/application/ingestion/policies/force_path.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/policies/test_force_path.py
docs/pseudocode/application/ingestion/policies/immediate_sync_error_emitter.md,application/ingestion/policies/immediate_sync_error_emitter.py,src/dpost_v2/application/ingestion/policies/immediate_sync_error_emitter.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/policies/test_failure_emitters.py
docs/pseudocode/application/ingestion/policies/modified_event_gate.md,application/ingestion/policies/modified_event_gate.py,src/dpost_v2/application/ingestion/policies/modified_event_gate.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/policies/test_modified_event_gate.py
docs/pseudocode/application/ingestion/policies/retry_planner.md,application/ingestion/policies/retry_planner.py,src/dpost_v2/application/ingestion/policies/retry_planner.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/policies/test_retry_planner.py
docs/pseudocode/application/ingestion/processor_factory.md,application/ingestion/processor_factory.py,src/dpost_v2/application/ingestion/processor_factory.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py|tests/dpost_v2/application/ingestion/test_processor_factory.py
docs/pseudocode/application/ingestion/runtime_services.md,application/ingestion/runtime_services.py,src/dpost_v2/application/ingestion/runtime_services.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/stages/test_persist_post_persist.py|tests/dpost_v2/application/ingestion/test_runtime_services.py
docs/pseudocode/application/ingestion/stages/persist.md,application/ingestion/stages/persist.py,src/dpost_v2/application/ingestion/stages/persist.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/stages/test_persist_post_persist.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py
docs/pseudocode/application/ingestion/stages/pipeline.md,application/ingestion/stages/pipeline.py,src/dpost_v2/application/ingestion/stages/pipeline.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/stages/test_persist_post_persist.py|tests/dpost_v2/application/ingestion/stages/test_pipeline.py|tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py|tests/dpost_v2/application/ingestion/test_engine.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py
docs/pseudocode/application/ingestion/stages/post_persist.md,application/ingestion/stages/post_persist.py,src/dpost_v2/application/ingestion/stages/post_persist.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/stages/test_persist_post_persist.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py
docs/pseudocode/application/ingestion/stages/resolve.md,application/ingestion/stages/resolve.py,src/dpost_v2/application/ingestion/stages/resolve.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py
docs/pseudocode/application/ingestion/stages/route.md,application/ingestion/stages/route.py,src/dpost_v2/application/ingestion/stages/route.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py
docs/pseudocode/application/ingestion/stages/stabilize.md,application/ingestion/stages/stabilize.py,src/dpost_v2/application/ingestion/stages/stabilize.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py
docs/pseudocode/application/records/service.md,application/records/service.py,src/dpost_v2/application/records/service.py,missing_implementation,missing_tests,
docs/pseudocode/application/runtime/dpost_app.md,application/runtime/dpost_app.py,src/dpost_v2/application/runtime/dpost_app.py,implemented,direct_module_tests_present,tests/dpost_v2/application/runtime/test_dpost_app.py|tests/dpost_v2/runtime/test_composition.py
docs/pseudocode/application/session/session_manager.md,application/session/session_manager.py,src/dpost_v2/application/session/session_manager.py,implemented,direct_module_tests_present,tests/dpost_v2/application/runtime/test_dpost_app.py|tests/dpost_v2/application/session/test_session_manager.py
docs/pseudocode/application/startup/bootstrap.md,application/startup/bootstrap.py,src/dpost_v2/application/startup/bootstrap.py,implemented,direct_module_tests_present,tests/dpost_v2/application/startup/test_bootstrap.py|tests/dpost_v2/application/startup/test_settings_service.py|tests/dpost_v2/harness/test_factories.py|tests/dpost_v2/harness/test_fixtures.py|tests/dpost_v2/smoke/test_bootstrap_harness_smoke.py
docs/pseudocode/application/startup/context.md,application/startup/context.py,src/dpost_v2/application/startup/context.py,implemented,direct_module_tests_present,tests/dpost_v2/application/startup/test_context.py|tests/dpost_v2/runtime/test_composition.py
docs/pseudocode/application/startup/settings.md,application/startup/settings.py,src/dpost_v2/application/startup/settings.py,implemented,direct_module_tests_present,tests/dpost_v2/application/startup/test_bootstrap.py|tests/dpost_v2/application/startup/test_settings.py|tests/dpost_v2/application/startup/test_settings_schema.py|tests/dpost_v2/application/startup/test_settings_service.py
docs/pseudocode/application/startup/settings_schema.md,application/startup/settings_schema.py,src/dpost_v2/application/startup/settings_schema.py,implemented,direct_module_tests_present,tests/dpost_v2/application/startup/test_settings_schema.py
docs/pseudocode/application/startup/settings_service.md,application/startup/settings_service.py,src/dpost_v2/application/startup/settings_service.py,implemented,direct_module_tests_present,tests/dpost_v2/application/startup/test_bootstrap.py|tests/dpost_v2/application/startup/test_settings_service.py
docs/pseudocode/domain/naming/identifiers.md,domain/naming/identifiers.py,src/dpost_v2/domain/naming/identifiers.py,implemented,direct_module_tests_present,tests/dpost_v2/domain/naming/test_identifiers.py|tests/dpost_v2/domain/naming/test_policy.py
docs/pseudocode/domain/naming/policy.md,domain/naming/policy.py,src/dpost_v2/domain/naming/policy.py,implemented,direct_module_tests_present,tests/dpost_v2/domain/naming/test_policy.py
docs/pseudocode/domain/naming/prefix_policy.md,domain/naming/prefix_policy.py,src/dpost_v2/domain/naming/prefix_policy.py,implemented,direct_module_tests_present,tests/dpost_v2/domain/naming/test_policy.py|tests/dpost_v2/domain/naming/test_prefix_policy.py
docs/pseudocode/domain/processing/batch_models.md,domain/processing/batch_models.py,src/dpost_v2/domain/processing/batch_models.py,implemented,direct_module_tests_present,tests/dpost_v2/domain/processing/test_batch_models.py
docs/pseudocode/domain/processing/models.md,domain/processing/models.py,src/dpost_v2/domain/processing/models.py,implemented,direct_module_tests_present,tests/dpost_v2/domain/processing/test_batch_models.py|tests/dpost_v2/domain/processing/test_models.py
docs/pseudocode/domain/processing/staging.md,domain/processing/staging.py,src/dpost_v2/domain/processing/staging.py,implemented,direct_module_tests_present,tests/dpost_v2/domain/processing/test_staging.py
docs/pseudocode/domain/processing/text.md,domain/processing/text.py,src/dpost_v2/domain/processing/text.py,implemented,direct_module_tests_present,tests/dpost_v2/domain/processing/test_text.py
docs/pseudocode/domain/records/local_record.md,domain/records/local_record.py,src/dpost_v2/domain/records/local_record.py,implemented,direct_module_tests_present,tests/dpost_v2/domain/records/test_local_record.py
docs/pseudocode/domain/routing/rules.md,domain/routing/rules.py,src/dpost_v2/domain/routing/rules.py,implemented,direct_module_tests_present,tests/dpost_v2/domain/routing/test_rules.py
docs/pseudocode/infrastructure/observability/logging.md,infrastructure/observability/logging.py,src/dpost_v2/infrastructure/observability/logging.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/observability/test_logging.py
docs/pseudocode/infrastructure/observability/metrics.md,infrastructure/observability/metrics.py,src/dpost_v2/infrastructure/observability/metrics.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/observability/test_metrics.py
docs/pseudocode/infrastructure/observability/tracing.md,infrastructure/observability/tracing.py,src/dpost_v2/infrastructure/observability/tracing.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/observability/test_tracing.py
docs/pseudocode/infrastructure/runtime/ui/adapters.md,infrastructure/runtime/ui/adapters.py,src/dpost_v2/infrastructure/runtime/ui/adapters.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/runtime/ui/test_adapters.py
docs/pseudocode/infrastructure/runtime/ui/desktop.md,infrastructure/runtime/ui/desktop.py,src/dpost_v2/infrastructure/runtime/ui/desktop.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/runtime/ui/test_desktop.py
docs/pseudocode/infrastructure/runtime/ui/dialogs.md,infrastructure/runtime/ui/dialogs.py,src/dpost_v2/infrastructure/runtime/ui/dialogs.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/runtime/ui/test_dialogs.py
docs/pseudocode/infrastructure/runtime/ui/factory.md,infrastructure/runtime/ui/factory.py,src/dpost_v2/infrastructure/runtime/ui/factory.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/runtime/ui/test_factory.py
docs/pseudocode/infrastructure/runtime/ui/headless.md,infrastructure/runtime/ui/headless.py,src/dpost_v2/infrastructure/runtime/ui/headless.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/runtime/ui/test_headless.py
docs/pseudocode/infrastructure/runtime/ui/tkinter.md,infrastructure/runtime/ui/tkinter.py,src/dpost_v2/infrastructure/runtime/ui/tkinter.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/runtime/ui/test_tkinter.py
docs/pseudocode/infrastructure/storage/file_ops.md,infrastructure/storage/file_ops.py,src/dpost_v2/infrastructure/storage/file_ops.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/storage/test_file_ops.py
docs/pseudocode/infrastructure/storage/record_store.md,infrastructure/storage/record_store.py,src/dpost_v2/infrastructure/storage/record_store.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/storage/test_record_store.py
docs/pseudocode/infrastructure/storage/staging_dirs.md,infrastructure/storage/staging_dirs.py,src/dpost_v2/infrastructure/storage/staging_dirs.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/storage/test_staging_dirs.py
docs/pseudocode/infrastructure/sync/kadi.md,infrastructure/sync/kadi.py,src/dpost_v2/infrastructure/sync/kadi.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/sync/test_kadi.py
docs/pseudocode/infrastructure/sync/noop.md,infrastructure/sync/noop.py,src/dpost_v2/infrastructure/sync/noop.py,implemented,direct_module_tests_present,tests/dpost_v2/infrastructure/sync/test_noop.py
docs/pseudocode/plugins/catalog.md,plugins/catalog.py,src/dpost_v2/plugins/catalog.py,implemented,direct_module_tests_present,tests/dpost_v2/plugins/test_catalog.py|tests/dpost_v2/plugins/test_profile_selection.py
docs/pseudocode/plugins/contracts.md,plugins/contracts.py,src/dpost_v2/plugins/contracts.py,implemented,no_direct_module_test_import,
docs/pseudocode/plugins/devices/_device_template/plugin.md,plugins/devices/_device_template/plugin.py,src/dpost_v2/plugins/devices/_device_template/plugin.py,implemented,direct_module_tests_present,tests/dpost_v2/plugins/test_device_template.py
docs/pseudocode/plugins/devices/_device_template/processor.md,plugins/devices/_device_template/processor.py,src/dpost_v2/plugins/devices/_device_template/processor.py,implemented,no_direct_module_test_import,
docs/pseudocode/plugins/devices/_device_template/settings.md,plugins/devices/_device_template/settings.py,src/dpost_v2/plugins/devices/_device_template/settings.py,implemented,direct_module_tests_present,tests/dpost_v2/plugins/test_device_template.py
docs/pseudocode/plugins/discovery.md,plugins/discovery.py,src/dpost_v2/plugins/discovery.py,implemented,direct_module_tests_present,tests/dpost_v2/plugins/test_catalog.py|tests/dpost_v2/plugins/test_device_integration.py|tests/dpost_v2/plugins/test_discovery.py|tests/dpost_v2/plugins/test_host.py|tests/dpost_v2/plugins/test_namespace_discovery.py|tests/dpost_v2/plugins/test_profile_selection.py
docs/pseudocode/plugins/host.md,plugins/host.py,src/dpost_v2/plugins/host.py,implemented,direct_module_tests_present,tests/dpost_v2/plugins/test_device_integration.py|tests/dpost_v2/plugins/test_host.py
docs/pseudocode/plugins/pcs/_pc_template/plugin.md,plugins/pcs/_pc_template/plugin.py,src/dpost_v2/plugins/pcs/_pc_template/plugin.py,implemented,direct_module_tests_present,tests/dpost_v2/plugins/test_pc_template.py
docs/pseudocode/plugins/pcs/_pc_template/settings.md,plugins/pcs/_pc_template/settings.py,src/dpost_v2/plugins/pcs/_pc_template/settings.py,implemented,direct_module_tests_present,tests/dpost_v2/plugins/test_pc_template.py
docs/pseudocode/plugins/profile_selection.md,plugins/profile_selection.py,src/dpost_v2/plugins/profile_selection.py,implemented,direct_module_tests_present,tests/dpost_v2/plugins/test_profile_selection.py
docs/pseudocode/runtime/composition.md,runtime/composition.py,src/dpost_v2/runtime/composition.py,implemented,direct_module_tests_present,tests/dpost_v2/application/startup/test_bootstrap.py|tests/dpost_v2/runtime/test_composition.py|tests/dpost_v2/smoke/test_bootstrap_harness_smoke.py
docs/pseudocode/runtime/startup_dependencies.md,runtime/startup_dependencies.py,src/dpost_v2/runtime/startup_dependencies.py,implemented,direct_module_tests_present,tests/dpost_v2/application/startup/test_bootstrap.py|tests/dpost_v2/application/startup/test_context.py|tests/dpost_v2/harness/test_factories.py|tests/dpost_v2/runtime/test_composition.py|tests/dpost_v2/runtime/test_startup_dependencies.py
